2026-02-11 01:54:09,700 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:10,050 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:10,401 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:10,751 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:10,928 | INFO    | tts-run-c3d6ac01 | [c3d6ac01] Starting TTS generation — book: c3d6ac01_kjv.txt, chunksize: 1000
2026-02-11 01:54:10,935 | INFO    | tts-run-c3d6ac01 | TXT loaded — 4,602,959 chars
2026-02-11 01:54:10,935 | INFO    | tts-run-c3d6ac01 | [c3d6ac01] Book loaded — 4,602,959 characters
2026-02-11 01:54:11,101 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:11,155 | INFO    | tts-run-c3d6ac01 | [c3d6ac01] Created 5188 chunks
2026-02-11 01:54:11,155 | INFO    | tts-run-c3d6ac01 | [c3d6ac01] Loading TTS model...
2026-02-11 01:54:11,192 | INFO    | tts-run-c3d6ac01 | Loading sentencepiece tokenizer from hf://kyutai/pocket-tts-without-voice-cloning/tokenizer.model@d4fdd22ae8c8e1cb3634e150ebeff1dab2d16df3
2026-02-11 01:54:11,452 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:11,557 | INFO    | tts-run-c3d6ac01 | Loading TTSModel weights from hf://kyutai/pocket-tts/tts_b6369a24.safetensors@427e3d61b276ed69fdd03de0d185fa8a8d97fc5b
2026-02-11 01:54:11,591 | INFO    | tts-run-c3d6ac01 | TTS Model loaded successfully. Its size is 471.0 MB
2026-02-11 01:54:11,595 | INFO    | tts-run-c3d6ac01 | [c3d6ac01] TTS model loaded
2026-02-11 01:54:11,595 | INFO    | tts-run-c3d6ac01 | [c3d6ac01] Output directory: outputs/run_c3d6ac01
2026-02-11 01:54:11,595 | ERROR   | tts-run-c3d6ac01 | [c3d6ac01] Error during TTS generation
Traceback (most recent call last):
  File "/media/joshspc/YUGE/Booklet/tts_worker.py", line 103, in run_tts
    voice_state = tts_model.get_state_for_audio_prompt(voice_path)
  File "<@beartype(pocket_tts.models.tts_model.TTSModel.get_state_for_audio_prompt) at 0x753e70c46520>", line 53, in get_state_for_audio_prompt
  File "/media/joshspc/YUGE/Booklet/.venv/lib/python3.13/site-packages/torch/utils/_contextlib.py", line 124, in decorate_context
    return func(*args, **kwargs)
  File "/media/joshspc/YUGE/Booklet/.venv/lib/python3.13/site-packages/pocket_tts/models/tts_model.py", line 682, in get_state_for_audio_prompt
    audio, conditioning_sample_rate = audio_read(audio_conditioning)
                                      ~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^
  File "<@beartype(pocket_tts.data.audio.audio_read) at 0x753e9d915120>", line 36, in audio_read
  File "/media/joshspc/YUGE/Booklet/.venv/lib/python3.13/site-packages/pocket_tts/data/audio.py", line 47, in audio_read
    data, sample_rate = sf.read(str(filepath), dtype="float32")
                        ~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/media/joshspc/YUGE/Booklet/.venv/lib/python3.13/site-packages/soundfile.py", line 305, in read
    with SoundFile(file, 'r', samplerate, channels,
         ~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
                   subtype, endian, format, closefd) as f:
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/media/joshspc/YUGE/Booklet/.venv/lib/python3.13/site-packages/soundfile.py", line 690, in __init__
    self._file = self._open(file, mode_int, closefd)
                 ~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/media/joshspc/YUGE/Booklet/.venv/lib/python3.13/site-packages/soundfile.py", line 1265, in _open
    raise LibsndfileError(err, prefix="Error opening {0!r}: ".format(self.name))
soundfile.LibsndfileError: Error opening '/media/joshspc/YUGE/Booklet/speaker_presets/4790e6690fc8472b1f6b0b9db6dc59bd83bef06ab385f4ad32364b33962e1143.pt': Format not recognised.
2026-02-11 01:54:11,596 | INFO    | tts-run-c3d6ac01 | [c3d6ac01] Worker thread finished
2026-02-11 01:54:11,802 | INFO    | MainThread   | 2 changes detected
2026-02-11 01:54:12,153 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:12,503 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:12,854 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:13,204 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:13,554 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:13,905 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:14,255 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:14,606 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:14,956 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:15,306 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:15,657 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:16,007 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:16,358 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:16,708 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:17,059 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:17,409 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:17,759 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:18,110 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:18,460 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:18,811 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:19,161 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:19,511 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:19,862 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:20,212 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:20,563 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:20,913 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:21,264 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:21,614 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:21,964 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:22,315 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:22,665 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:23,016 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:23,366 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:23,717 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:24,067 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:24,417 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:24,768 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:25,118 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:25,469 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:25,819 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:26,170 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:26,520 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:26,871 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:27,221 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:27,571 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:27,922 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:28,272 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:28,623 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:28,973 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:29,324 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:29,674 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:30,024 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:30,375 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:30,725 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:31,076 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:31,426 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:31,777 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:32,127 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:32,477 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:32,828 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:33,178 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:33,529 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:33,879 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:34,230 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:34,580 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:34,931 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:35,281 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:35,632 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:35,982 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:36,332 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:36,683 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:37,033 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:37,384 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:37,734 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:38,085 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:38,435 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:38,785 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:39,136 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:39,486 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:39,837 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:40,187 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:40,538 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:40,888 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:41,238 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:41,589 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:41,939 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:42,290 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:42,640 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:42,991 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:43,341 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:43,691 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:44,042 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:44,392 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:44,743 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:45,093 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:45,444 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:45,794 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:46,144 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:46,495 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:46,845 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:47,196 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:47,546 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:47,897 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:48,247 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:48,597 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:48,948 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:49,298 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:49,649 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:49,999 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:50,350 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:50,700 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:51,050 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:51,401 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:51,751 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:52,102 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:52,452 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:52,802 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:53,153 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:53,503 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:53,854 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:54,204 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:54,555 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:54,905 | INFO    | MainThread   | 2 changes detected
2026-02-11 01:54:54,905 | WARNING | MainThread   | WatchFiles detected changes in 'tts_worker.py'. Reloading...
2026-02-11 01:54:54,968 | INFO    | MainThread   | Shutting down
2026-02-11 01:54:55,069 | INFO    | MainThread   | Waiting for application shutdown.
2026-02-11 01:54:55,069 | INFO    | MainThread   | Application shutdown complete.
2026-02-11 01:54:55,069 | INFO    | MainThread   | Finished server process [351249]
2026-02-11 01:54:55,524 | INFO    | MainThread   | 4 changes detected
2026-02-11 01:54:55,875 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:56,226 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:56,576 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:56,819 | INFO    | MainThread   | Started server process [352171]
2026-02-11 01:54:56,820 | INFO    | MainThread   | Waiting for application startup.
2026-02-11 01:54:56,820 | INFO    | MainThread   | Application startup complete.
2026-02-11 01:54:56,926 | INFO    | MainThread   | 2 changes detected
2026-02-11 01:54:56,927 | WARNING | MainThread   | WatchFiles detected changes in 'tts_worker.py'. Reloading...
2026-02-11 01:54:57,020 | INFO    | MainThread   | Shutting down
2026-02-11 01:54:57,121 | INFO    | MainThread   | Waiting for application shutdown.
2026-02-11 01:54:57,121 | INFO    | MainThread   | Application shutdown complete.
2026-02-11 01:54:57,122 | INFO    | MainThread   | Finished server process [352171]
2026-02-11 01:54:57,559 | INFO    | MainThread   | 4 changes detected
2026-02-11 01:54:57,909 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:58,259 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:58,610 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:58,781 | INFO    | MainThread   | Started server process [352259]
2026-02-11 01:54:58,782 | INFO    | MainThread   | Waiting for application startup.
2026-02-11 01:54:58,782 | INFO    | MainThread   | Application startup complete.
2026-02-11 01:54:58,960 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:59,311 | INFO    | MainThread   | 1 change detected
2026-02-11 01:54:59,661 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:00,011 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:00,362 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:00,712 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:01,063 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:01,413 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:01,764 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:02,114 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:02,465 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:02,815 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:03,166 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:03,516 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:03,866 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:04,217 | INFO    | MainThread   | 2 changes detected
2026-02-11 01:55:04,217 | WARNING | MainThread   | WatchFiles detected changes in 'tts_worker.py'. Reloading...
2026-02-11 01:55:04,293 | INFO    | MainThread   | Shutting down
2026-02-11 01:55:04,393 | INFO    | MainThread   | Waiting for application shutdown.
2026-02-11 01:55:04,394 | INFO    | MainThread   | Application shutdown complete.
2026-02-11 01:55:04,394 | INFO    | MainThread   | Finished server process [352259]
2026-02-11 01:55:04,780 | INFO    | MainThread   | 4 changes detected
2026-02-11 01:55:05,130 | INFO    | MainThread   | 2 changes detected
2026-02-11 01:55:05,130 | WARNING | MainThread   | WatchFiles detected changes in 'tts_worker.py'. Reloading...
2026-02-11 01:55:06,125 | INFO    | MainThread   | Started server process [352408]
2026-02-11 01:55:06,126 | INFO    | MainThread   | Waiting for application startup.
2026-02-11 01:55:06,127 | INFO    | MainThread   | Application startup complete.
2026-02-11 01:55:06,564 | INFO    | MainThread   | 4 changes detected
2026-02-11 01:55:06,915 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:07,266 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:07,616 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:07,898 | INFO    | MainThread   | Started server process [352467]
2026-02-11 01:55:07,898 | INFO    | MainThread   | Waiting for application startup.
2026-02-11 01:55:07,899 | INFO    | MainThread   | Application startup complete.
2026-02-11 01:55:07,966 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:08,317 | INFO    | MainThread   | 2 changes detected
2026-02-11 01:55:08,317 | WARNING | MainThread   | WatchFiles detected changes in 'tts_worker.py'. Reloading...
2026-02-11 01:55:08,400 | INFO    | MainThread   | Shutting down
2026-02-11 01:55:08,500 | INFO    | MainThread   | Waiting for application shutdown.
2026-02-11 01:55:08,501 | INFO    | MainThread   | Application shutdown complete.
2026-02-11 01:55:08,501 | INFO    | MainThread   | Finished server process [352467]
2026-02-11 01:55:08,941 | INFO    | MainThread   | 4 changes detected
2026-02-11 01:55:09,291 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:09,642 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:09,992 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:10,162 | INFO    | MainThread   | Started server process [352536]
2026-02-11 01:55:10,163 | INFO    | MainThread   | Waiting for application startup.
2026-02-11 01:55:10,163 | INFO    | MainThread   | Application startup complete.
2026-02-11 01:55:10,343 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:10,693 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:11,044 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:11,394 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:11,745 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:12,095 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:12,445 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:12,796 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:13,146 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:13,497 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:13,847 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:14,197 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:14,548 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:14,898 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:15,249 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:15,599 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:15,950 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:16,300 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:16,650 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:17,001 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:17,351 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:17,702 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:18,052 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:18,403 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:18,753 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:19,103 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:19,454 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:19,804 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:20,155 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:20,505 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:20,856 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:21,206 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:21,556 | INFO    | MainThread   | 2 changes detected
2026-02-11 01:55:21,557 | WARNING | MainThread   | WatchFiles detected changes in 'tts_worker.py'. Reloading...
2026-02-11 01:55:21,582 | INFO    | MainThread   | Shutting down
2026-02-11 01:55:21,683 | INFO    | MainThread   | Waiting for application shutdown.
2026-02-11 01:55:21,683 | INFO    | MainThread   | Application shutdown complete.
2026-02-11 01:55:21,684 | INFO    | MainThread   | Finished server process [352536]
2026-02-11 01:55:22,121 | INFO    | MainThread   | 4 changes detected
2026-02-11 01:55:22,471 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:22,822 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:23,172 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:23,373 | INFO    | MainThread   | Started server process [352744]
2026-02-11 01:55:23,373 | INFO    | MainThread   | Waiting for application startup.
2026-02-11 01:55:23,374 | INFO    | MainThread   | Application startup complete.
2026-02-11 01:55:23,522 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:23,873 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:24,223 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:24,574 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:24,924 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:25,275 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:25,625 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:25,975 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:26,326 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:26,676 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:27,027 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:27,377 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:27,728 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:28,078 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:28,429 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:28,779 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:29,130 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:29,480 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:29,830 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:30,181 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:30,531 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:30,882 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:31,232 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:31,583 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:31,933 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:32,284 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:32,634 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:32,985 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:33,335 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:33,685 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:34,036 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:34,386 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:34,737 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:35,087 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:35,438 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:35,788 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:36,139 | INFO    | MainThread   | 1 change detected
2026-02-11 01:55:36,489 | INFO    | MainThread   | 1 change detected
